4
4
4
4
106,18,667
89,23,670
54,19,659
88,22,663
43,25,660
107,29,656
90,18,660
108,21,656
83,19,662
64,30,675
58,29,682
90,23,678
65,25,674
94,21,674
50,22,671
90,26,675
87,21,669
112,25,671
81,16,667
75,21,668
80,19,659
54,21,661
91,30,661
64,25,656
79,18,657
75,23,656
77,16,659
71,19,624
48,27,655
78,23,654
75,28,654
74,22,655
44,16,656
93,26,659
112,16,667
87,16,677
110,20,682
54,27,684
78,26,677
48,22,659
48,20,656
90,28,656
86,23,661
62,25,665
47,26,664
89,14,661
58,19,658
64,16,667
62,19,667
85,21,669
85,22,667
90,29,667
100,30,666
49,16,657
66,23,653
82,31,658
90,28,661
82,39,656
65,23,656
94,33,659
62,38,660
112,31,676
111,23,687
74,42,688
64,28,687
66,34,688
105,35,691
63,29,690
75,19,688
94,28,685
80,29,673
91,34,671
83,33,669
59,30,670
51,25,670
81,22,661
88,34,661
74,32,642
81,35,652
67,26,656
80,29,647
47,35,643
81,27,653
96,34,656
62,30,651
93,29,650
80,31,647
50,32,654
67,30,653
78,33,656
66,27,656
75,38,662
74,0,659
80,27,661
112,28,655
62,27,647
78,23,651
110,29,651
83,31,651
98,37,659
80,29,661
64,32,656
83,26,655
87,32,666
92,32,657
51,34,657
73,27,658
91,31,660
50,34,657
46,31,656
84,21,656
83,33,655
86,30,656
90,27,658
88,27,663
71,26,669
91,25,672
112,26,668
117,27,661
106,28,658
62,26,658
50,32,663
